"Game Title";"Console";"Year";"Genre";"Company";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Jungle Hunt";"Atari 2600";1982;"Platform";"Atari";1.03;0.06;0.0;1.1
"Triple Play 98";"PS";1997;"Sports";"Electronic Arts";0.61;0.42;0.0;1.1
"LEGO The Lord of the Rings";"PS3";2012;"Action";"Warner Bros. Interactive Entertainment";0.36;0.53;0.0;1.1
"Petz Dogz 2";"Nintendo DS";2007;"Simulation";"Ubisoft";0.47;0.52;0.0;1.1
"WWE SmackDown vs. Raw 2011";"PS3";2010;"Fighting";"THQ";0.44;0.46;0.01;1.1
"Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories";"Gameboy";1999;"Strategy";"Konami Digital Entertainment";0.0;0.0;1.1;1.1
"Lode Runner";"Nintendo NES";1984;"Puzzle";"Hudson Soft";0.0;0.0;1.1;1.1
"The Final Fantasy Legend";"Gameboy";1989;"Role-Playing";"SquareSoft";0.0;0.0;1.1;1.1
"Famicom Jump: Eiyuu Retsuden";"Nintendo NES";1989;"Role-Playing";"Namco Bandai Games";0.0;0.0;1.1;1.1
"F-Zero X";"Nintendo 64";1998;"Racing";"Nintendo";0.45;0.33;0.29;1.1
"Popeye";"Nintendo NES";1983;"Platform";"Nintendo";0.51;0.12;0.45;1.1
"NERF N-Strike";"Nintendo Wii";2008;"Shooter";"Electronic Arts";0.92;0.09;0.0;1.1
"NBA Live 2001";"PS2";2001;"Sports";"Electronic Arts";0.52;0.4;0.04;1.1
"SingStar Legends";"PS2";2006;"Misc";"Sony Computer Entertainment";0.12;0.75;0.0;1.1
"SingStar Rocks!";"PS2";2006;"Misc";"Sony Computer Entertainment";0.0;0.84;0.0;1.1
"Tales of Symphonia";"Nintendo GameCube";2003;"Role-Playing";"Nintendo";0.54;0.21;0.31;1.1
"Untold Legends: Brotherhood of the Blade";"PSP";2005;"Role-Playing";"Activision";0.54;0.33;0.01;1.1
"Star Ocean: The Second Story";"PS";1998;"Role-Playing";"Sony Computer Entertainment";0.26;0.1;0.72;1.1
"Lightning Returns: Final Fantasy XIII";"PS3";2013;"Role-Playing";"Square Enix";0.31;0.22;0.45;1.1
"Star Wars: The Force Unleashed";"PSP";2008;"Action";"LucasArts";0.43;0.41;0.0;1.09
"Imagine: Babysitters";"Nintendo DS";2008;"Simulation";"Ubisoft";0.63;0.36;0.0;1.09
"The Simpsons Game";"PSP";2007;"Action";"Electronic Arts";0.24;0.55;0.0;1.09
"Yakuza 2";"PS2";2006;"Adventure";"Sega";0.05;0.04;0.84;1.09
"Skate 2";"XBOX 360";2009;"Sports";"Electronic Arts";0.82;0.17;0.01;1.09
"Dragon Ball Z: The Legacy of Goku II";"Gameboy Advanced";2003;"Role-Playing";"Atari";0.78;0.29;0.0;1.09
"Virtua Fighter 5";"PS3";2007;"Fighting";"Sega";0.29;0.52;0.08;1.09
"NFL 2K1";"Sega Dreamcast";2000;"Sports";"Sega";1.02;0.05;0.0;1.09
"BeatMania";"PS";1998;"Simulation";"Konami Digital Entertainment";0.0;0.0;1.07;1.09
"Namco Museum Battle Collection";"PSP";2005;"Misc";"Sony Computer Entertainment";0.75;0.18;0.0;1.09
"LEGO Star Wars II: The Original Trilogy";"Nintendo DS";2006;"Action";"LucasArts";0.96;0.04;0.0;1.09
"Madden NFL 2004";"XBOX";2003;"Sports";"Electronic Arts";1.02;0.02;0.0;1.09
"Empire: Total War";"PC";2009;"Strategy";"Sega";0.01;0.97;0.0;1.09
"The Godfather";"PS2";2006;"Action";"Electronic Arts";0.89;0.03;0.01;1.09
"Tiger Woods PGA Tour 10";"Nintendo Wii";2009;"Sports";"Electronic Arts";0.61;0.37;0.0;1.09
"Star Wars: Bounty Hunter";"PS2";2002;"Shooter";"LucasArts";0.53;0.42;0.0;1.09
"Densha De Go!";"PS";1997;"Simulation";"Taito";0.0;0.0;1.02;1.09
"Dante's Inferno";"PS3";2010;"Action";"Electronic Arts";0.64;0.28;0.04;1.09
"Sonic & Sega All-Stars Racing";"Nintendo DS";2010;"Racing";"Sega";0.44;0.54;0.0;1.09
"Skylanders Giants";"PS3";2012;"Action";"Activision";0.35;0.52;0.0;1.09
"Endless Ocean";"Nintendo Wii";2007;"Adventure";"Nintendo";0.44;0.47;0.09;1.09
"NFL Blitz 2000";"PS";1998;"Sports";"Midway Games";0.6;0.41;0.0;1.09
"Sonic Free Riders";"XBOX 360";2010;"Racing";"Sega";0.74;0.26;0.0;1.09
"NASCAR Thunder 2004";"PS2";2003;"Racing";"Electronic Arts";0.53;0.41;0.0;1.08
"Prince of Persia";"PS3";2008;"Action";"Ubisoft";0.47;0.41;0.03;1.08
"SpongeBob SquarePants: Revenge of the Flying Dutchman";"PS2";2002;"Platform";"THQ";0.53;0.41;0.0;1.08
"Grand Theft Auto V";"PC";2015;"Action";"Take-Two Interactive";0.36;0.64;0.0;1.08
"The Biggest Loser";"Nintendo Wii";2009;"Sports";"THQ";0.87;0.12;0.0;1.08
"Fisherman's Bass Club";"PS2";2002;"Sports";"Agetec";0.53;0.41;0.0;1.08
"MySims Agents";"Nintendo DS";2009;"Adventure";"Electronic Arts";0.55;0.43;0.0;1.08
"Resident Evil: The Darkside Chronicles";"Nintendo Wii";2009;"Action";"Capcom";0.48;0.32;0.2;1.08
"NCAA Football 13";"XBOX 360";2012;"Action";"Electronic Arts";1.02;0.0;0.0;1.08
"Grand Theft Auto: Chinatown Wars";"PSP";2009;"Action";"Take-Two Interactive";0.28;0.5;0.03;1.08
"FIFA Soccer 11";"Nintendo Wii";2010;"Sports";"Electronic Arts";0.26;0.69;0.0;1.08
"The Orange Box";"PS3";2007;"Shooter";"Electronic Arts";0.28;0.59;0.0;1.08
"Joust";"Atari 2600";1982;"Platform";"Atari";1.01;0.06;0.0;1.08
"Tomb Raider: Underworld";"XBOX 360";2008;"Action";"Eidos Interactive";0.53;0.43;0.01;1.08
"Tom Clancy's Ghost Recon 2";"PS2";2004;"Shooter";"Ubisoft";0.64;0.34;0.0;1.08
"DiRT 3";"PS3";2011;"Racing";"Codemasters";0.27;0.59;0.01;1.08
"LEGO City Undercover";"Nintendo WiiU";2013;"Platform";"Nintendo";0.47;0.4;0.13;1.08
"Spore Creatures";"Nintendo DS";2008;"Simulation";"Electronic Arts";0.67;0.3;0.0;1.08
"Ready 2 Rumble Boxing";"PS";1998;"Sports";"Midway Games";0.6;0.41;0.0;1.08
"Dragon Ball Z: Taiketsu";"Gameboy Advanced";2003;"Fighting";"Atari";0.77;0.29;0.0;1.08
"Disney's Lilo & Stitch";"Gameboy Advanced";2002;"Platform";"Ubisoft";0.77;0.29;0.0;1.08
"Star Fox: Assault";"Nintendo GameCube";2005;"Shooter";"Nintendo";0.68;0.18;0.19;1.08
"Naruto: Ultimate Ninja Storm";"PS3";2008;"Fighting";"Namco Bandai Games";0.49;0.35;0.09;1.08
"Marvel vs. Capcom 3: Fate of Two Worlds";"XBOX 360";2011;"Fighting";"Capcom";0.79;0.18;0.03;1.08
"NCAA Football 14";"XBOX 360";2013;"Sports";"Electronic Arts";1.01;0.0;0.0;1.07
"Doko Demo Issyo";"PS";1999;"Misc";"Sony Computer Entertainment";0.0;0.0;1.0;1.07
"Call of Duty 3";"PS2";2006;"Shooter";"Activision";0.89;0.03;0.0;1.07
"Imagine: Fashion Designer New York";"Nintendo DS";2008;"Simulation";"Ubisoft";0.65;0.32;0.0;1.07
"Red Dead Redemption: Undead Nightmare";"XBOX 360";2010;"Action";"Take-Two Interactive";0.57;0.39;0.02;1.07
"Bully: Scholarship Edition";"XBOX 360";2008;"Action";"Take-Two Interactive";0.53;0.4;0.03;1.07
"Virtua Fighter";"Sega Saturn";1994;"Fighting";"Sega";0.17;0.12;0.77;1.07
"Championship Manager 99/00";"PC";1999;"Sports";"Eidos Interactive";0.0;0.98;0.0;1.07
"WWE SmackDown vs. Raw 2010";"PS2";2009;"Fighting";"THQ";0.53;0.01;0.0;1.07
"Pro Evolution Soccer 2008";"XBOX 360";2007;"Sports";"Konami Digital Entertainment";0.08;0.9;0.04;1.07
"Super Princess Peach";"Nintendo DS";2005;"Platform";"Nintendo";0.72;0.06;0.21;1.07
"NHL 99";"PS";1997;"Sports";"Electronic Arts";0.59;0.4;0.0;1.07
"SoulCalibur III";"PS2";2005;"Fighting";"Namco Bandai Games";0.74;0.15;0.13;1.07
"Skylanders SWAP Force";"PS3";2013;"Platform";"Activision";0.43;0.44;0.0;1.07
"F1 2012";"PS3";2012;"Racing";"Codemasters";0.12;0.64;0.05;1.07
"World Tour Soccer";"PSP";2005;"Sports";"Sony Computer Entertainment";0.1;0.63;0.0;1.07
"Disney Universe";"Nintendo Wii";2011;"Action";"Disney Interactive Studios";0.67;0.3;0.0;1.07
"Ridge Racer Revolution";"PS";1995;"Racing";"Sony Computer Entertainment";0.17;0.12;0.71;1.07
"LEGO Pirates of the Caribbean: The Video Game";"XBOX 360";2011;"Action";"Disney Interactive Studios";0.54;0.42;0.0;1.07
"Hot Wheels Turbo Racing";"PS";1999;"Racing";"Electronic Arts";0.59;0.4;0.0;1.07
"NCAA Football 99";"PS";1998;"Sports";"Electronic Arts";0.59;0.4;0.0;1.06
"Mortal Kombat: Armageddon";"PS2";2006;"Fighting";"Midway Games";0.88;0.04;0.0;1.06
"Aliens vs Predator";"XBOX 360";2010;"Shooter";"Sega";0.55;0.4;0.0;1.06
"Freekstyle";"PS2";2002;"Racing";"Electronic Arts";0.52;0.41;0.0;1.06
"Junior Brain Trainer";"Nintendo DS";2008;"Misc";"GSP";0.23;0.74;0.0;1.06
"Darksiders";"XBOX 360";2010;"Action";"THQ";0.67;0.29;0.01;1.06
"DiRT";"PS3";2007;"Racing";"Codemasters";0.16;0.67;0.0;1.06
"Call of Duty 4: Modern Warfare";"Nintendo DS";2007;"Shooter";"Activision";0.96;0.02;0.01;1.06
"Simple 1500 Series Vol. 1: The Mahjong";"PS";1998;"Misc";"D3Publisher";0.0;0.0;0.99;1.06
"Sega Superstars Tennis";"Nintendo Wii";2008;"Sports";"Sega";0.28;0.65;0.0;1.06
"NBA Street V3";"PS2";2005;"Sports";"Electronic Arts";0.52;0.41;0.0;1.06
"Sleeping Dogs";"PS3";2012;"Action";"Square Enix";0.31;0.5;0.05;1.06
"Mercenaries 2: World in Flames";"XBOX 360";2008;"Shooter";"Electronic Arts";0.65;0.3;0.01;1.06
"Worms Armageddon";"PS";1999;"Strategy";"Microprose";0.18;0.81;0.0;1.06
"Hulk";"PS2";2003;"Action";"Universal Interactive";0.52;0.41;0.0;1.06
"LEGO Indiana Jones: The Original Adventures";"PS3";2008;"Action";"Activision";0.44;0.44;0.0;1.06
"NFL Blitz";"Nintendo 64";1998;"Sports";"Midway Games";1.02;0.04;0.0;1.06
"NFL Quarterback Club 98";"Nintendo 64";1997;"Sports";"Acclaim Entertainment";1.01;0.05;0.0;1.06
"DJ Hero";"XBOX 360";2009;"Misc";"Activision";0.56;0.4;0.0;1.06
"Dora the Explorer: Dora Saves the Mermaids";"Nintendo DS";2007;"Platform";"Take-Two Interactive";0.97;0.01;0.0;1.06
"Diablo II: Lord of Destruction";"PC";2001;"Role-Playing";"Vivendi Games";1.03;0.02;0.0;1.06
"Naruto Shippuden: Ultimate Ninja Storm 4";"PS4";2016;"Fighting";"Namco Bandai Games";0.39;0.41;0.1;1.06
"Spider-Man 2";"Gameboy Advanced";2004;"Action";"Activision";0.76;0.28;0.0;1.06
"Virtua Tennis 3";"PS3";2007;"Sports";"Sega";0.23;0.59;0.03;1.06
"Seek and Destroy";"PS2";2002;"Racing";"Play It";0.52;0.4;0.0;1.06
"Warhawk";"PS3";2007;"Simulation";"Sony Computer Entertainment";0.49;0.39;0.0;1.06
"Apollo Justice: Ace Attorney";"Nintendo DS";2007;"Adventure";"Capcom";0.32;0.06;0.64;1.06
"Assassin's Creed: Rogue";"XBOX 360";2014;"Action";"Ubisoft";0.58;0.38;0.0;1.05
"Cosmic Ark";"Atari 2600";1981;"Shooter";"Imagic";0.99;0.05;0.0;1.05
"SOCOM: U.S. Navy SEALs Fireteam Bravo 2";"PSP";2006;"Shooter";"Sony Computer Entertainment";0.81;0.11;0.0;1.05
"Skylanders: Trap Team";"Nintendo Wii";2014;"Action";"Activision";0.42;0.54;0.0;1.05
"Aliens vs Predator";"PS3";2010;"Shooter";"Sega";0.41;0.47;0.0;1.05
"Defender";"Atari 2600";1980;"Misc";"Atari";0.99;0.05;0.0;1.05
"Dance on Broadway";"Nintendo Wii";2010;"Misc";"Ubisoft";0.27;0.66;0.0;1.05
"Adventure Island";"Nintendo NES";1986;"Platform";"Hudson Soft";0.0;0.0;1.05;1.05
"Arc the Lad II";"PS";1996;"Role-Playing";"Sony Computer Entertainment";0.0;0.0;0.92;1.05
"Tag Team Match M.U.S.C.L.E.";"Nintendo NES";1985;"Fighting";"Namco Bandai Games";0.0;0.0;1.05;1.05
"Derby Stallion 96";"Super Nintendo";1996;"Sports";"ASCII Entertainment";0.0;0.0;1.04;1.05
"UFC Undisputed 3";"PS3";2012;"Action";"THQ";0.55;0.34;0.03;1.05
"NBA 2K3";"PS2";2002;"Sports";"Sega";0.51;0.4;0.0;1.05
"Dragon Ball: XenoVerse";"PS4";2015;"Fighting";"Namco Bandai Games";0.3;0.48;0.12;1.05
"The Simpsons: Road Rage";"XBOX";2001;"Racing";"Electronic Arts";0.78;0.26;0.0;1.05
"Dave Mirra Freestyle BMX";"PS";2000;"Sports";"Acclaim Entertainment";0.91;0.11;0.0;1.05
"Imagine: Animal Doctor";"Nintendo DS";2007;"Simulation";"Ubisoft";0.45;0.49;0.0;1.05
"WWE SmackDown vs. Raw 2010";"XBOX 360";2009;"Fighting";"THQ";0.56;0.38;0.01;1.05
"Forza Motorsport";"XBOX";2005;"Racing";"Microsoft Game Studios";0.52;0.51;0.0;1.05
"Sonic the Hedgehog";"XBOX 360";2006;"Platform";"Sega";0.44;0.49;0.0;1.05
"MySims Agents";"Nintendo Wii";2009;"Adventure";"Electronic Arts";0.62;0.32;0.0;1.05
"Monster Rancher 2";"PS";1998;"Simulation";"Sony Computer Entertainment";0.19;0.13;0.66;1.05
"Pokemon Conquest";"Nintendo DS";2012;"Role-Playing";"Nintendo";0.58;0.06;0.37;1.05
"The Simpsons Game";"XBOX 360";2007;"Action";"Electronic Arts";0.54;0.4;0.0;1.05
"Guinness World Records: The Videogame";"Nintendo Wii";2008;"Action";"Warner Bros. Interactive Entertainment";0.46;0.47;0.0;1.04
"MVP Baseball 2003";"PS2";2003;"Sports";"Electronic Arts";0.51;0.4;0.0;1.04
"Dragon Ball Z: Budokai Tenkaichi 3";"Nintendo Wii";2007;"Fighting";"Atari";0.33;0.37;0.26;1.04
"Disney Tangled";"Nintendo DS";2010;"Action";"Disney Interactive Studios";0.58;0.37;0.0;1.04
"Tales of Destiny";"PS";1997;"Role-Playing";"Namco Bandai Games";0.09;0.06;0.83;1.04
"ATV: Quad Power Racing";"PS";2000;"Racing";"Acclaim Entertainment";0.58;0.39;0.0;1.04
"Disney Fairies: Tinker Bell and the Lost Treasure";"Nintendo DS";2009;"Adventure";"Disney Interactive Studios";0.57;0.35;0.02;1.04
"Mega Man X4";"PS";1996;"Action";"Virgin Interactive";0.45;0.3;0.22;1.04
"Naruto: Clash of Ninja 2";"Nintendo GameCube";2003;"Fighting";"Nintendo";0.44;0.12;0.45;1.04
"Dance Dance Revolution SuperNOVA";"PS2";2006;"Simulation";"Konami Digital Entertainment";0.87;0.03;0.0;1.04
"Brink";"XBOX 360";2011;"Shooter";"Bethesda Softworks";0.59;0.35;0.01;1.04
"F-Zero: Maximum Velocity";"Gameboy Advanced";2001;"Racing";"Nintendo";0.39;0.16;0.37;1.04
"Bomberman 64";"Nintendo 64";1997;"Puzzle";"Hudson Soft";0.5;0.2;0.31;1.04
"Jeremy McGrath Supercross 98";"PS";1998;"Racing";"Acclaim Entertainment";0.91;0.1;0.0;1.04
"LEGO Indiana Jones 2: The Adventure Continues";"XBOX 360";2009;"Action";"Activision";0.62;0.33;0.0;1.04
"Project CARS";"PS4";2015;"Racing";"Slightly Mad Studios";0.17;0.69;0.02;1.04
"Need for Speed: Most Wanted";"XBOX";2005;"Racing";"Electronic Arts";0.53;0.46;0.0;1.04
"Kirby: Mass Attack";"Nintendo DS";2011;"Platform";"Nintendo";0.52;0.06;0.41;1.04
"LEGO Marvel Super Heroes";"XBOX One";2013;"Action";"Warner Bros. Interactive Entertainment";0.61;0.34;0.0;1.04
"ZhuZhu Pets";"Nintendo DS";2010;"Simulation";"Activision";0.68;0.27;0.0;1.04
"Tom Clancy's Ghost Recon Advanced Warfighter 2";"PS3";2007;"Shooter";"Ubisoft";0.34;0.48;0.02;1.04
"MotorStorm: Arctic Edge";"PSP";2009;"Racing";"Sony Computer Entertainment";0.16;0.58;0.0;1.04
"WipEout Pure";"PSP";2005;"Racing";"Sony Computer Entertainment";0.47;0.34;0.0;1.04
"EA Sports UFC";"PS4";2014;"Sports";"Electronic Arts";0.46;0.4;0.01;1.04
"MX vs. ATV Unleashed";"PS2";2005;"Racing";"THQ";0.86;0.03;0.0;1.03
"Sonic Unleashed";"PS3";2008;"Platform";"Sega";0.56;0.33;0.01;1.03
"Tiger Woods PGA Tour 08";"Nintendo Wii";2007;"Sports";"Electronic Arts";0.94;0.02;0.0;1.03
"Rayman Origins";"PS3";2011;"Platform";"Ubisoft";0.33;0.51;0.01;1.03
"Epic Mickey 2: The Power of Two";"Nintendo Wii";2012;"Action";"Disney Interactive Studios";0.72;0.23;0.0;1.03
"NCAA March Madness 2004";"PS2";2003;"Sports";"Electronic Arts";0.5;0.39;0.0;1.03
"Bomberman";"Nintendo NES";1985;"Puzzle";"Hudson Soft";0.18;0.0;0.85;1.03
"The Simpsons Game";"Nintendo Wii";2007;"Action";"Electronic Arts";0.45;0.47;0.0;1.03
"Tomb Raider";"PC";1996;"Action";"Eidos Interactive";0.96;0.07;0.0;1.03
"Rock Band 2";"Nintendo Wii";2008;"Misc";"MTV Games";0.94;0.01;0.0;1.03
"Street Fighter Alpha 3";"PS";1998;"Fighting";"Virgin Interactive";0.38;0.12;0.51;1.03
"Bulletstorm";"XBOX 360";2011;"Shooter";"Electronic Arts";0.61;0.32;0.01;1.02
"FIFA Soccer 08";"Nintendo Wii";2007;"Sports";"Electronic Arts";0.32;0.59;0.01;1.02
"Naruto: Clash of Ninja Revolution";"Nintendo Wii";2007;"Fighting";"Tomy Corporation";0.45;0.46;0.0;1.02
"Tom Clancy's Ghost Recon Advanced Warfighter 2";"XBOX 360";2007;"Shooter";"Ubisoft";0.87;0.05;0.02;1.02
"ZombiU";"Nintendo WiiU";2012;"Action";"Ubisoft";0.53;0.36;0.05;1.02
"Shrek 2";"Nintendo GameCube";2004;"Platform";"Activision";0.73;0.26;0.01;1.02
"Petz: Catz 2";"Nintendo DS";2007;"Simulation";"Ubisoft";0.51;0.4;0.0;1.02
"Tales of Graces f";"PS3";2010;"Role-Playing";"Namco Bandai Games";0.28;0.21;0.45;1.02
"Final Fight 2";"Super Nintendo";1993;"Action";"Capcom";0.39;0.12;0.49;1.02
"Wall-E";"Nintendo Wii";2008;"Platform";"THQ";0.51;0.4;0.0;1.02
"The Lost World: Jurassic Park";"PS";1997;"Action";"Electronic Arts";0.57;0.39;0.0;1.02
"Ace Combat 6: Fires of Liberation";"XBOX 360";2007;"Simulation";"Atari";0.69;0.04;0.22;1.02
"Madden NFL 07";"XBOX";2006;"Sports";"Electronic Arts";0.97;0.03;0.0;1.02
"Disney Infinity 2.0: Marvel Super Heroes";"PS3";2014;"Action";"Disney Interactive Studios";0.44;0.4;0.0;1.02
"Harry Potter and the Prisoner of Azkaban";"PS2";2004;"Action";"Electronic Arts";0.5;0.39;0.0;1.02
"Pong: The Next Level";"PS";1998;"Puzzle";"Hasbro Interactive";0.56;0.38;0.0;1.01
"Bayonetta 2";"Nintendo WiiU";2014;"Action";"Nintendo";0.34;0.28;0.1;1.01
"Prince of Persia";"XBOX 360";2008;"Action";"Ubisoft";0.54;0.35;0.02;1.01
"God of War: Ghost of Sparta";"PSP";2010;"Action";"Sony Computer Entertainment";0.41;0.36;0.03;1.01
"Sonic Generations";"Nintendo 3DS";2011;"Platform";"Sega";0.44;0.46;0.01;1.01
"Ninja Gaiden II";"XBOX 360";2008;"Action";"Tecmo Koei";0.65;0.22;0.05;1.01
"NBA Jam Tournament Edition";"Super Nintendo";1995;"Sports";"Acclaim Entertainment";0.87;0.12;0.0;1.01
"Championship Manager 3";"PC";2003;"Sports";"Eidos Interactive";0.0;0.93;0.0;1.01
"Guitar Hero: Warriors of Rock";"Nintendo Wii";2010;"Misc";"Activision";0.48;0.44;0.0;1.01
"Oshare Majo Love and Berry: DS Collection";"Nintendo DS";2006;"Misc";"Sega";0.0;0.0;1.01;1.01
"Monster Rancher";"PS";1997;"Simulation";"Tecmo Koei";0.12;0.08;0.74;1.01
"The LEGO Movie Videogame";"PS3";2014;"Action";"Warner Bros. Interactive Entertainment";0.33;0.48;0.02;1.01
"DiRT 2";"PS3";2009;"Racing";"Codemasters";0.27;0.53;0.0;1.01
"Rayman Legends";"PS4";2014;"Platform";"Ubisoft";0.21;0.61;0.0;1.01
"NERF N-Strike Elite";"Nintendo Wii";2009;"Shooter";"Electronic Arts";0.93;0.0;0.0;1.0
"Ford Racing 2";"PS2";2003;"Racing";"Empire Interactive";0.49;0.38;0.0;1.0
"Breath of Fire III";"PS";1997;"Role-Playing";"Capcom";0.29;0.19;0.46;1.0
"PES 2009: Pro Evolution Soccer";"XBOX 360";2008;"Sports";"Konami Digital Entertainment";0.13;0.76;0.03;1.0
"Dead or Alive 2";"PS2";2000;"Fighting";"Tecmo Koei";0.3;0.24;0.38;1.0
"1942";"Nintendo NES";1985;"Shooter";"Capcom";0.65;0.14;0.21;1.0
"Excitebike 64";"Nintendo 64";2000;"Racing";"Nintendo";0.65;0.15;0.19;1.0
"NES Open Tournament Golf";"Nintendo NES";1991;"Sports";"Nintendo";0.41;0.1;0.47;1.0
"Game & Watch Gallery";"Gameboy";1997;"Misc";"Nintendo";0.63;0.25;0.09;1.0
"Jissen Pachi-Slot Hisshouhou: Hokuto no Ken";"PS2";2004;"Misc";"Sammy Corporation";0.0;0.0;1.0;1.0
"SoulCalibur II";"XBOX";2003;"Fighting";"Namco Bandai Games";0.78;0.18;0.03;1.0
"Haze";"PS3";2008;"Shooter";"Ubisoft";0.49;0.33;0.02;1.0
"UFC Undisputed 3";"XBOX 360";2012;"Action";"THQ";0.72;0.21;0.0;1.0
"Winning Eleven: Pro Evolution Soccer 2007 (All Region sales)";"XBOX 360";2006;"Sports";"Konami Digital Entertainment";0.08;0.9;0.02;1.0
"Road & Track Presents: The Need for Speed";"PS";1995;"Racing";"Electronic Arts";0.56;0.38;0.0;1.0
"NFL GameDay 2001";"PS";2000;"Sports";"Sony Computer Entertainment";0.56;0.38;0.0;1.0
"Killzone: Mercenary";"PlayStation Vita";2013;"Shooter";"Sony Computer Entertainment Europe";0.25;0.49;0.04;1.0
"NBA Live 97";"PS";1996;"Sports";"Electronic Arts";0.55;0.38;0.0;1.0
"Dynasty Warriors 3: Xtreme Legends";"PS2";2002;"Action";"Tecmo Koei";0.13;0.1;0.74;1.0
"Zoo Tycoon DS";"Nintendo DS";2005;"Strategy";"THQ";0.86;0.04;0.01;1.0
"Rocksmith 2014";"PS3";2013;"Misc";"Ubisoft";0.51;0.27;0.05;1.0
"Dead Space 3";"PS3";2013;"Action";"Electronic Arts";0.44;0.38;0.0;1.0
"Wheel of Fortune";"Nintendo Wii";2010;"Misc";"THQ";0.89;0.04;0.0;1.0
"Disney Infinity";"PS3";2013;"Action";"Disney Interactive Studios";0.48;0.35;0.0;1.0
"Dark Souls";"XBOX 360";2011;"Role-Playing";"Namco Bandai Games";0.64;0.28;0.0;1.0
"Puzzler Collection";"Nintendo DS";2008;"Puzzle";"Ubisoft";0.17;0.78;0.0;1.0
"Jampack Winter 2000";"PS";2000;"Misc";"Sony Computer Entertainment";0.55;0.38;0.0;1.0
"Dead Space 3";"XBOX 360";2013;"Action";"Electronic Arts";0.64;0.28;0.0;0.99
"Phoenix Wright: Ace Attorney";"Nintendo DS";2005;"Adventure";"Capcom";0.49;0.07;0.39;0.99
"NFL Fever 2002";"XBOX";2000;"Sports";"Microsoft Game Studios";0.74;0.21;0.0;0.99
"The Simpsons: Hit & Run";"Nintendo GameCube";2003;"Racing";"Vivendi Games";0.77;0.2;0.0;0.99
"Littlest Pet Shop: Winter";"Nintendo DS";2008;"Simulation";"Electronic Arts";0.59;0.31;0.0;0.99
"Tom Clancy's Splinter Cell: Blacklist";"XBOX 360";2013;"Action";"Ubisoft";0.57;0.34;0.01;0.99
"Ace Combat X: Skies of Deception";"PSP";2006;"Simulation";"Namco Bandai Games";0.37;0.31;0.12;0.99
"NCAA Football 12";"XBOX 360";2011;"Sports";"Electronic Arts";0.94;0.0;0.0;0.99
"LEGO Pirates of the Caribbean: The Video Game";"PS3";2011;"Action";"Disney Interactive Studios";0.36;0.46;0.0;0.99
"Band Hero";"Nintendo Wii";2009;"Misc";"Activision";0.6;0.3;0.0;0.99
"Cars: Race-O-Rama";"Nintendo Wii";2009;"Racing";"THQ";0.61;0.3;0.0;0.99
"Oddworld: Abe's Exoddus";"PS";1998;"Platform";"GT Interactive";0.55;0.38;0.0;0.99
"EyePet";"PS3";2009;"Simulation";"Sony Computer Entertainment";0.35;0.52;0.04;0.99
"Scooby-Doo! First Frights";"Nintendo Wii";2009;"Action";"Warner Bros. Interactive Entertainment";0.88;0.05;0.0;0.99
"Midnight Club: LA Remix";"PSP";2008;"Racing";"Take-Two Interactive";0.52;0.28;0.0;0.99
"The Bouncer";"PS2";2000;"Action";"Sony Computer Entertainment";0.3;0.23;0.38;0.99
"Guitar Hero: Aerosmith";"PS3";2008;"Misc";"Activision";0.73;0.15;0.0;0.99
"WWE SmackDown vs Raw 2008";"Nintendo Wii";2007;"Fighting";"THQ";0.38;0.5;0.0;0.99
"FIFA Soccer 10";"Nintendo Wii";2009;"Sports";"Electronic Arts";0.23;0.65;0.0;0.99
"Shadow The Hedgehog";"Nintendo GameCube";2005;"Platform";"Sega";0.76;0.2;0.0;0.99
"Farming Simulator 2013";"PC";2012;"Simulation";"Focus Home Interactive";0.0;0.8;0.0;0.99
"Fallout 3";"PC";2008;"Role-Playing";"Bethesda Softworks";0.02;0.88;0.0;0.99
"Cars";"Nintendo DS";2006;"Racing";"THQ";0.85;0.05;0.0;0.98
"Pro Evolution Soccer 2008";"PSP";2008;"Sports";"Konami Digital Entertainment";0.02;0.53;0.19;0.98
"Far Cry 3";"PC";2012;"Shooter";"Ubisoft";0.21;0.62;0.0;0.98
"Xenoblade Chronicles";"Nintendo Wii";2010;"Role-Playing";"Nintendo";0.49;0.26;0.16;0.98
"Just Dance 2014";"XBOX 360";2013;"Misc";"Ubisoft";0.72;0.19;0.0;0.98
"Mario Party Advance";"Gameboy Advanced";2005;"Misc";"Nintendo";0.5;0.19;0.28;0.98
"Sonic & Sega All-Stars Racing";"PS3";2010;"Racing";"Sega";0.36;0.46;0.0;0.98
"Tetris 2";"Nintendo NES";1993;"Puzzle";"Nintendo";0.62;0.13;0.21;0.98
"NASCAR 99";"Nintendo 64";1998;"Racing";"Electronic Arts";0.94;0.04;0.0;0.98
"Kingdom Hearts Re:coded";"Nintendo DS";2010;"Role-Playing";"Square Enix";0.56;0.1;0.27;0.98
"South Park: The Stick of Truth";"PS3";2014;"Role-Playing";"Ubisoft";0.42;0.38;0.0;0.98
"Driver: San Francisco";"PS3";2011;"Racing";"Ubisoft";0.24;0.54;0.01;0.98
"Sniper Elite V2";"PS3";2012;"Shooter";"505 Games";0.38;0.39;0.06;0.98
